FL_CKLIST_POSM,ID_MAQUINA_GRUPO,DS_DADOS_TECNICOS,DS_MODELO,DS_SERIE,NR_ANO_FABRICACAO,NR_POTENCIA,NR_TENSAO,DS_ATIVO_FISCAL,ST_MAQUINA,ID_CLIENTE,CD_MAQUINA,DS_MAQUINA,ID_FABRICANTE
N,20,"AF.345
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização: Sala máquina Nishimura - 1 - Filmes   / Prédio 01
Serie: 61975
TR 10,00",SIVIB 100,61975,,,, ,A,1,AR COND. SC 19,SELF CONTAINED COLDEX TRANE SC 19 MOD. SIVB100 AF.345,110
N,20,"AF. 341
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 050
Localização:Ind. Filmes - Embalagem Interna (dayligh load) / Prédio 01
Serie: 61974
TR 5,00",SIVIB 050,61974,,,, ,A,1,AR COND. SC 21,SELF CONTAINED COLDEX TRANE SC 21 MOD. SIVB050 AF.341,110
N,20,"AF. 346
Tipo: Self Contained 
Marca: Coldex Trane
Modelo: SIVIB 100
Localização:Ind. Filmes - Embalagem Externa / Prédio 01
Serie: 61587
TR 10,00",SIVIB 100,61587,,,, ,A,1,AR COND. SC 23,SELF CONTAINED COLDEX TRANE SC 23 MOD. SIVB100 AF.346,110
N,16,"MARCA: Trane	
SERIE: BR070150293	
MODELO: SIVB200	20	
LOCALIDADE: Injeção	
AF . 2061
",SIVB 200,BR070150293,,,, ,A,1,AR COND. SC 35,SELF CONTAINED COLDEX TRANE SC 35 MOD. SIVB200 AF.2061,110
N,16,"MARCA: Trane	
SERIE: BR120352203184	
MODELO: SIVE350HPSO11AOT
TR 20	
Injeção	
AF. 2976
",SIVE350HPSO11AOT,BR120352203184,,,, ,A,1,AR COND. SC 37,SELF CONTAINED COLDEX TRANE SC 37 MOD. SIVE350HPSO11AOT 2976,110
N,15,"AF.4967
Tipo: Self Contained 
Marca: Trane
Modelo: DXPA404GD32P0001
Serie: B0705S0236
TR 40,00
Localização: Extrusao / Prédio 00",DXPA404GD32P0001,B0705S0236,,,, ,A,1,AR COND. SC 48,SELF CONTAINED TRANE SC 48 MOD. D32P0001 AF.4967,110
N,15,"AF.4968
Tipo: Self Contained 
Marca: Trane
Modelo: DXPA404GD32P0001
Serie: B0705S0235
TR 40,00
Localização:Ind.Extrusao / Prédio 00",DXPA404GD32P0001,B0705S0235,,,, ,A,1,AR COND. SC 49,SELF CONTAINED TRANE SC 49 MOD. DXPA404GD32P0001 AF. 4968,110
N,15,"AF.4969
Tipo: Self Contained 
Marca: Trane
Modelo: DXPA404GD32P0001
Serie: B0705S0234
TR 40,00
Localização:Extrusao / Prédio 00",DXPA404GD32P0001,B0705S0234,,,, ,A,1,AR COND. SC 50,SELF CONTAINED TRANE SC 50 MOD. DXPA404GD32P0001 AF.4969,110
N,39,"AF.6028
Tipo: Self Contained 
Marca: Trane
Modelo: DLPA504AA32P0001
Serie: B05650558
TR 50,00
Localização:Extrusao / Prédio 00",DLPA504AA32P0001,B05650558,,,, ,A,1,AR COND. SC 51,SELF CONTAINED TRANE SC 51 MOD. DLPA504AA32P0001 AF.6028,110
N,15,"AF.6029
Tipo: Self Contained 
Marca: Trane
Modelo: DLPA504AA32P0001
Serie: B050650556
TR 50,00
Localização: Extrusao / Prédio 00",DLPA504AA32P0001,B050650556,,,, ,A,1,AR COND. SC 52,SELF CONTAINED TRANE SC 52 MOD. DLPA504AA32P0000 AF.6029,110
N,15,"AF. 7624
Tipo: Self Contained 
Marca: Trane
Modelo: DLSA5000D3200001A
Serie: B050650191
TR 50,00
Localização: Extrusao / Prédio 00",DLSA5000D3200001A,B050650191,,,, ,A,1,AR COND. SC 53,SELF CONTAINED TRANE SC 53 MOD. DLSA5000D3200001A AF.7624,110
N,43,"Dados técnicos:

Marca :Condicionador Springer	
nº de serie: 2399334985	
Modelo: 10.500 BTU'S	
TR 0,875	
Localização: Sala de EPI
AF.1200",10.500 BTU'S	,2399334985,,,,,A,1,AR COND. ACJ 08,CONDICIONADOR SPRINGER ACJ 08 MOD. 10.500BTUn AF.1200,181
N,39,"7 MARCA: Eletrolux	
Nº SERIE:25093CBB242	
MODELO: 10.500 BTU'S	
TR: 0,88		
Predio 01 
Localidade: Sala de perigosos	
AF. 2791",10.500 BTU'S	,25093CBB242,,,, ,A,1,AR COND. ACJ 09,CONDICIONADOR ELETROLUX ACJ 09 MOD. 10.500BTU AF.2791,182
N,36,"MARCA: Electrolux	
Nº DE SERIE: 40601966	
MODELO: CCFO7DB		
LOCALIDADE: Câmara de Orgânico (Liixeira)
AF.7914		
", CCFO7DB	,40601966,,,, ,A,1,AR COND. ACJ 10,CONDICIONADOR CONSUL ACJ 10 MOD. 7.500BTU AF.7914,182
N,28,"Dados técnicos:

Split Cassete York 
nº serie: 030937403
Modelo: MKC35G17
TR: 2,50
Localização: Prédio 04 - Recepção
Sem Ativo fixo
",MKC35G17,030937403,,,, ,A,1,AR COND. SCA 01,SPLIT CASSETE YORK SCA 01 MOD. MKC35G17,184
N,30,"Dados técnicos:

Split Cassete York 
nº serie: 030508958
Modelo: MKC35G17
TR: 2,50
Localização: Prédio 04 - Fiscal / Recebimento
Sem Ativo fixo
",MKC35G17,030508958,,,, ,A,1,AR COND. SCA 02,SPLIT CASSETE YORK SCA 02 MOD. MKC35G17,184
N,29,"Dados técnicos:

Split Cassete York 
nº serie: 030314655
Modelo: MKC35G17
TR: 2,50
Localização: Prédio 04 - Compras / Fiscal
Sem Ativo fixo
",MKC35G17,030314655,,,, ,A,1,AR COND. SCA 03,SPLIT CASSETE YORK SCA 03 MOD. MKC35G17,184
N,28,"Dados técnicos:

Split Cassete York 
nº serie: 030504106
Modelo: MKC35G17
TR: 2,50
Localização: Prédio 04 - Sala Sr. Amauri
Sem Ativo fixo
",MKC35G17,030504106,,,, ,A,1,AR COND. SCA 04,SPLIT CASSETE YORK SCA 04 MOD. MKC35G17,184
N,33,"Tipo: Split Cassete	
Marca: York	
nº série: 031224290	
Modelo: MKC35G17	
TR2,50	
Prédio 04
Localidade: Térreo - Sala de Treinamento
",MKC35G17,031224290,,,, ,A,1,AR COND. SCA 06,SPLIT CASSETE YORK SCA 06 MOD. MKC35G17,184
N,33,"Tipo: Split Cassete	
Marca:York	
Nº série: 031224265	
Modelo: MKC35G17	
TR2,50	
Prédio 04	
Localidade: Térreo - Sala de Treinamento
",MKC35G17,031224265,,,, ,A,1,AR COND. SCA 07,SPLIT CASSETE YORK SCA 07 MOD. MKC35G17,184
N,33,"Tipo: Split Cassete	
Marca: York	
nº de série: 031224321	
Modelo: MKC35G17	
TR 1,50	
Prédio 04	
Localidade: Térreo - Sala de Entrevista 01
",MKC35G17,031224321,,,, ,A,1,AR COND. SCA 08,SPLIT CASSETE YORK SCA 08 MOD. MKC35G17,184
N,33,"Tipo: Split Cassete	
Marca: York	
nº de série: 031224266	
Modelo: JKC24T17	
TR 2,00	
Prédio 04	
Localidade: Térreo - Sala de Entrevista 02
",JKC24T17,031224266,,,, ,A,1,AR COND. SCA 09,SPLIT CASSETE YORK SCA 09 MOD. JKC24T17,184
N,28,"Tipo: Split Cassete	
Marca: York	
nº de Série: 030504093	
Modelo: JKC24T17	
TR 2,50	
Predio 04	
Localidade: Sala Amazonas",JKC24T17,030504093,,,, ,A,1,AR COND. SCA 10,SPLIT CASSETE YORK SCA 10 MOD. JKC24T17,184
N,28,"Tipo: Split Cassete	
Marca: Srir	
Nº de série: 030937401	
Modelo: MKC35G17	
TR2,50	
Prédio 04	
Localidade: Sala 1º andar (Ld Esquerdo) - Antigo compras / impex
",MKC35G17,030937401,,,, ,A,1,AR COND. SCA 12,SPLIT CASSETE YORK SCA 12 MOD. MKC35G17,184
N,28,,,,,,, ,A,1,AR COND. SCA 13,SPLIT CASSETE YORK SCA 13 MOD. MKC35G17,44
N,28,,,,,,, ,A,1,AR COND. SCA 14,SPLIT CASSETE YORK SCA 14 MOD. MKC35G17,44
N,28,,,,,,, ,A,1,AR COND. SCA 15,SPLIT CASSETE YORK SCA 15 MOD. MKC25G17,44
N,28,,,,,,, ,A,1,AR COND. SCA 16,SPLIT CASSETE YORK SCA 16 MOD. MKC35G17,184
N,28,,,,,,, ,A,1,AR COND. SCA 17,SPLIT CASSETE YORK SCA 17 MOD. MKG35G17,184
N,28,"Tipo: Split Cassete	
Marca: York	
nº de série: 031104340	
Modelo: MKC35G17	2,50	
Prédio04	
Local: Sala Amazonas
", MKC35G17,031104340,,,, ,A,1,AR COND. SCA 18,SPLIT CASSETE YORK SCA 18 MOD. MKC35G17,184
N,28,"Tipo: Split Cassete	
Marca: York	
nº de sére: 030504115	
Modelo:MKC35G17	
TR 2,50	
Prédio 04	
Localidade: Sala Diretoria - Sr. Amauri
",MKC35G17,030504115,,,, ,A,1,AR COND. SCA 19,SPLIT CASSETE YORK SCA 19 MOD. MKC35G17,44
N,28,"Tipo: Split Cassete	
Marca: York	
nº de sére:031224263	
Modelo: JKC18T17	
TR 1,50	
Prédio 04	
Localidade: Sala das Secretárias (Nazaré)
",JKC18T17,031224263,,,, ,A,1,AR COND. SCA 20,SPLIT CASSETE YORK SCA 20 MOD. JKC18T17,184
N,28,"MARCA: York	
SERIE: 031224262	
MODELO: MKC35G17	
TR 2,50
Salão 2º andar - Nazaré",MKC35G17,031224262	,,,, ,A,1,AR COND. SCA 21,SPLIT CASSETE YORK SCA 21 MOD. MKC35G17,184
N,28,"Salão 2º andar - Nazaré
MARCA: York	
SERIE: 031217669	
MODELO: MKC35G17	
TR 2,50
",MKC35G17,031217669,,,, ,A,1,AR COND. SCA 24,SPLIT CASSETE YORK SCA 24 MOD. MKC35G17,184
N,28,"Salão 2º andar - Nazaré
MARCA: York	
SERIE: 041204223	
MODELO: MKC35G17	
TR 2,50
",MKC35G17,041204223,,,, ,A,1,AR COND. SCA 26,SPLIT CASSETE YORK SCA 26 MOD. MKC35G17,184
N,28,"Tipo: Split Cassete	
Marca: York	
nº de série: 041204234	
Modelo: MKC35G17	2,50	
Localidade: Sala Diretoria - Sr. Sérgio
Prédio 04
",MKC35G17,041204234,,,, ,A,1,AR COND. SCA 27,SPLIT CASSETE YORK SCA 27 MOD. KMC35G17,184
N,33,,,,,,, ,A,1,OUTROS RH,OUTROS DISPOSITIVOS RH,44
N,40,,,,,,, ,A,1,OUTROS PREDIAL,SERVIÇOS DA MANUTENÇÃO PREDIAL,44
N,15,"Fabricante: Metalplan Equipamentoss LTDA
Fluído: Ar comprimido
Grupo de Risco: 4
Categoria do Vaso: IV
Marca METALPLAN
Volume: 2m³
Material Utilizado no cilindro: ASTM - A 285 C
Diâmetro interno: 700mm
Comprimento do Cilindro: 2200mm
Tensão Máxima amissível do casco: 13.8000,00
Material utilizado nas calotas: ASTM - A 285 C
Tensão máxima admissível da calota: 13.8000,00
Norma do Projeto: ASME SECCAO VIII Div 1 - 1992
Espessura adotada do cilindro: 13,3mm
Espessura adotada das calotas: 8,8mm
PMTA: 10,0 kgf./cm²
Pressão de teste hidrostático: 16,0 kgf./cm²",VA. 2000,5307.97,1997,,, ,A,1,VASOPRESSAO01,VASO DE PRESSÃO - PRÉDIO 01,109
N,15,"Marca: METALPLAN
Pressão Op.: 10,0 kgf./cm²
Capacidade: 2m³
MPTA: 12,0 kgf./cm²
Catégoria: IV
Pressão TH: 19,0 kgf./cm²
Classe Fluído: C
P. Proj: 12,5 kgf./cm²
Fluído: Ar Comprimido
Norma de Fabricação: ASME VIII - Div.1",CILINDRICO VERTICAL SVR 2000,7234/98,1998,,, ,A,1,VASOPRESSAO02,VASO DE PRESSÃO - PRÉDIO 02,109
N,15,"bALANÇA ELETRÔNICA TRANSPALETEIRA MOD.PL-3000, CAP. 2000KGX1000G, S/N: 10748099 (C3-6101) - MSBL 056",PL3000-8,10746099,,,, ,A,1,BLCPALETEIRA01,BALANÇA PALETEIRA 01 TOLEDO - AF 9005 MSBL 056,123
N,15,BALANÇA PALETEIRA 2000KG X 500G - 700MM SÉRIE:17533 (MSBL 038),UL2000,17533,,,, ,A,1,BLCPALETEIRA02,BALANÇA PALETEIRA 02 BYG - AF 6418 MSBL 038,134
N,15,"BALANÇA TRANSPALETEIRA MOD. PL3000 BYG, CAP.2000KGX1000G-SÉRIE:11356294 - MSLB 060","PL3000 BYG,",11356294,,,, ,A,1,BLCPALETEIRA03,BALANÇA PALETEIRA 03 BYG - AF 9550 MSLB 060,134
N,26,,,,,,, ,A,1,BOMBA_INCEND,BOMBA DE INCENDIO,176
S,15,"TALHA ELÉTRICA DS 
MODELO: RC 1109
LOCALIDADE: ARÉA DE ABASTECIMENTO DA EXTRUSÃO
1 TONELDA
AF. 9450
FABRICANTE: CLIMBER",,,,,, ,A,1,TALHAMOD:RC1109,TALHA ELÉTRICA DS MODELO: RC1109 Nº 8587,121
N,23,,,,,,, ,A,1,MATRIM AF.9472,MATRIM ATIVO FIXO 9472,44
N,15,"AF. 7625
Tipo: Self Contained 
Marca: Trane
Modelo: DLSA5000D3200001A
Serie: B050650192
TR 50,00
Localização: Extrusao / Prédio 00",DLSA5000D3200001A,B050650192,,,, ,A,1,AR COND. SC 54,SELF CONTAINED TRANE SC 54 MOD. DLSA5000D3200001A AF.7625,110
S,14,,,,,,, ,A,1,REDUTOR DS,REDUTORES DA LINHA DAVIS STANDARD,160
S,13,,,,,,, ,A,1,REDUTOR WELEX,REDUTORES DA LINHA WELEX,113
N,40,,,,,,, ,A,1,SPDA,SISTEMA DE PROTEÇÃO CONTRA DESCARGAS ATMOSFÉRICAS,130
N,37,"Tipo:Split System
Marca: Electrolux	
nº de serie: 02606733-02607563	
Modelo: PI24F/PE24F	
TR: 2,00	
Localidade: Sala do servidor	
AF. 8573
",PI24F/PE24F,02606733-02607563	,,,, ,A,1,AR COND. SS 60,SPLIT SYSTEM HITACHI SS 60 MOD. PI24F/PE24F AF.8573,149
N,20,"Split System	
Marca:Hitachi	
nº de série: LF 17335	
Modelo:LF 17335	
TR 1,50	
Prédio 01	
Local: Sala de Corte tubetes Ind Filmes	
AF. 1567
",RAS 302CS/AC,LF 17335,,,, ,A,1,AR COND. SS 17,SPLIT SYSTEM HITACHI SS 17 MOD. LF17335 AF.1567,149
N,42,"SS  20	
Marca: Split System	 Lennox	

N/s:5897603438	

Modelo: 10ACB30 - 7P	

TR2,50	

Prédio 01	

Local: Sala de Arquivo - aDM. Qualidade

AF.1657
",10ACB30 - 7P,5897603438,,,, ,A,1,AR COND. SS 20,SPLIT SYSTEM LENNOX SS 20 MOD. A0ACB24-7P AF.1657,183
N,16,"MARCA: Trane	
SERIE: B2039850048	
MODELO: SIVE - 2002T	
TR 20	
LOCALIDADE: Injeção - Sala Grande	
AF. 1105
",SIVE - 2002T	,B2039850048,,,, ,A,1,AR COND. SC 02,SELF CONTAINED COLDEX TRANE SC 02 MOD. SIVE 200 AF.1105,110
N,16,"MARCA: Trane	
SERIE: B2039850047	
MODELO: SIVE - 2002T	
TR 20	
LOCALIDADE: Injeção
AF.1104
",SIVE - 2002T,2039850047,,,, ,A,1,AR COND. SC 03,SELF CONTAINED COLDEX TRANE SC 03 MOD. SIVE 200 AF.1104,110
N,16,"MARCA:Trane	
SERIE: B019750083
MODELO: CIVIC - 2002H	
TR 20	
LOCALIDADE: Injeção	
AF: 0726
",CIVIC - 2002H,B019750083,,,, ,A,1,AR COND. SC 05,SELF CONTAINED COLDEX TRANE SC 05 MOD. SIVE 200 AF.726,110
N,16,"MARCA:Trane	
SERIE: B019750082
MODELO: CIVIC - 2002H	
TR 20	
LOCALIDADE: Injeção	
AF. 724
",CIVIC - 2002H,B019750082,,,, ,A,1,AR COND. SC 07,SELF CONTAINED COLDEX TRANE SC 07 MOD. SIVE 200 AF.724,110
N,16,"MARCA:Trane	
SERIE: 63584	
MODELO: SIVB - 200H	
TR 20	
LOCALIDADE: Injeção	
AF. 721
",SIVE - 200H	,63584,,,, ,A,1,AR COND. SC 09,SELF CONTAINED COLDEX TRANE SC 09 MOD. SIVE 200 AF.721,110
N,16,"MARCA: Coldex Trane	
SERIE: BR0601S0415	
MODELO: SIVB 200	20,0	
TR 01	
Indl Injeção Plástica - Sala Peq.	
AF2062
",SIVB 200,BR0601S0415,,,, ,A,1,AR COND. SC 34,SELF CONTAINED COLDEX TRANE SC 34 MOD. SIVB200 AF.2062,110
N,36,"ACJ.13
AR CONDICIONADO 7.500BTU'S ELETROLUX
MODELO: EC07F 
220V - 
S/N: 40601964 - ACJ 13
Localização: SALA DE ESCRITÓRIO (RESTAURANTE)
AF.9458",EC07F ,40601964,,,,,A,1,AR COND. ACJ13,CONDICIONADOR ELECTROLUX ACJ 13 MOD. EC07F AF.9458,182
N,36,"AR CONDICIONADO ACJ 14 - 10.000BTUS 

MODELO: SPRINGER 
SÉRIE: 3816B19496419 - QCI105BB 

LOCALIZAÇÃO: AÇOUGUE
220V - ACJ 14",QCI105BB, 3816B19496419,,,,,A,1,AR COND. ACJ14,CONDICIONADOR SPRINGER ACJ 14 MOD. QCI105BB  ,181
